is_one,ConsecutiveLimitUp,IChangeRatio,billboard_weight,large_alpha,CirculatedMarketValue_Discrete,Turnover,IndcdZX_C39,IndcdZX_C37
0,1,0.010880545093664984,0.0,-1.37,3,-0.8779465146622303,False,False
0,1,-1.1103406147798114,0.0,-24.58,3,-0.5354441624764422,False,False
0,1,-0.9303762372027304,0.0,-5.24,3,-0.31253618408801787,False,False
0,1,-0.2677130469574409,0.0,-34.78,1,0.6844011302894262,False,False
0,1,0.4652478060278627,0.0,-39.97,1,1.4671770497350236,False,False
0,1,-0.576704033056496,-2.034398906215401,-30.38,1,1.973526292018286,False,False
0,1,-3.4412009855633223,0.0,-20.39,1,0.3420719777760458,False,False
0,1,-1.5463513911530147,0.0,-29.29,1,0.4761285242194338,False,False
0,1,0.17124893272138847,-2.782831922330697,-31.18,1,1.4734988377778966,False,False
0,1,-1.5078677000476501,0.0,-5.04,1,0.13431897072327567,False,False
0,1,-0.8147480916882989,0.0,-1.47,1,0.3810419040677284,False,False
0,1,-0.5221067719024126,0.0,-12.02,1,0.2597155335462898,False,False
0,1,-0.4265468088662388,-0.2849032244331661,7.19,1,0.5842917196379039,False,False
0,2,-0.33193123088786536,0.0,-25.94,1,0.33808838531067364,False,False
0,1,1.1754253694937327,0.0,-21.91,1,0.4718851322454507,False,False
0,1,-1.52144323525353,-2.503991779864887,-25.17,1,0.9816117681406589,False,False
0,1,-0.44478524529500824,0.0,-8.0,1,0.5175232459248211,False,False
1,1,-0.17687500921026889,-0.04581576433352943,4.01,1,-0.9577915636420777,False,False
0,2,1.2834394104796487,0.0,-11.13,1,-0.024245329365770507,False,False
0,1,0.6854665966936839,-0.1840822472315588,6.43,1,-0.2860366342096738,False,True
1,2,0.41383784444385574,0.0,23.0,1,-0.9965882902613529,False,True
0,3,-0.8964964232541425,0.0,-39.28,1,0.5954630985081861,False,True
0,1,-0.07316972505056697,0.0,-20.75,1,-0.8019118584753474,False,True
0,1,-0.5940571084935775,0.0,-27.44,1,-0.46729009138409966,False,True
0,1,1.856504068366129,0.0,-13.4,3,-0.7942910728894184,False,False
0,1,-0.01585735685530768,0.0,-14.47,1,-1.0373768131133139,False,False
0,1,-0.051330820588933665,0.0,-7.29,1,1.4433620947789956,False,False
0,1,0.23003690256946077,0.0,-12.87,1,1.0767849881285678,False,False
0,1,-0.17386478183853027,-3.124934739372565,-23.52,1,1.9967350481208883,False,False
0,1,1.2814325922318228,-2.522387372808681,-26.64,1,1.940704954097069,False,False
0,1,3.6557346756741507,0.0,-30.82,1,0.07352588570825086,False,False
0,1,0.3986096353868249,0.2554078873437643,4.6,1,-0.4549929146431687,False,False
1,2,-1.0426400109487481,0.0,-9.84,1,-0.8751753199037106,False,False
0,3,-0.0632536819436632,-3.572523573499995,-11.76,1,0.9723455856668586,False,False
0,1,-0.2505960677848094,0.0,-7.64,1,0.11873100020660267,False,False
0,1,-0.6703162019109564,0.0,-2.73,1,-0.8230422185090597,False,False
0,1,0.8722777659398175,0.1941904059701805,6.66,1,-0.23243133559955928,False,False
0,2,-1.8304932454186977,0.0,-8.24,1,-0.3539309057934052,False,False
0,1,-1.0409873370975975,0.0,-14.78,1,0.9195196855825778,False,False
0,1,-0.9586487648706287,0.0,-14.77,1,-0.6006538391378579,True,False
0,1,1.6621968427237053,0.0,-28.9,1,-0.8938808845237183,True,False
0,1,-0.15881364497983705,0.0,-6.41,1,-0.6282791868868506,True,False
0,1,-0.03822747791195368,0.0,3.97,1,-0.9014150702734436,True,False
1,2,-1.7367040043658994,-0.2161911806286664,1.6,1,-0.9952892927182968,True,False
0,3,-2.863827570850628,0.01712096450745117,-5.34,1,0.04936453140740777,True,False
0,1,0.15118075024313082,0.0,-23.27,1,-0.5689582990872893,True,False
0,1,-0.7668205500049307,0.0,-9.93,1,-0.319810570329132,True,False
0,1,-0.060892719299162304,0.0,-14.0,1,0.017668991356839057,True,False
0,1,-0.886167211684451,3.249836236990009,9.27,1,-0.6524405411876938,False,False
1,2,0.4075812934359283,0.0,10.79,1,-0.9017614696182585,False,False
1,3,0.13548034865719985,3.582970234274464,21.82,1,-0.9364880039359579,False,False
0,4,0.16369385225898558,0.0,-13.55,1,0.15094613927439363,False,False
1,5,-0.19747440828353924,0.6208095958004012,9.42,1,-0.952075974452631,False,False
0,6,-0.7216081153627385,0.0,-17.3,1,0.0224319823480449,False,False
0,7,-0.13443670567536525,-0.6585837204256485,-23.17,1,3.131712501407092,False,False
0,8,0.517011912008545,-0.7544539661901595,-1.92,1,2.3274598225829672,False,False
0,9,-2.175547935912504,-1.20758390487963,-11.22,1,0.44659798007395884,False,False
0,10,0.06890120208227456,-1.177333918342892,-15.77,1,2.0748481003766606,False,False
0,11,1.0245598565101253,0.1753373311196701,-12.07,1,2.91348091417367,False,False
0,1,-0.4532256867490989,-1.732731239194579,-24.21,1,3.4310881351634186,False,False
0,1,1.5749002489432846,-1.016500301410971,-29.08,1,3.0928291749516132,False,False
0,1,1.2927061888593148,0.9388577235142783,4.58,1,2.1469857639343752,False,False
0,2,0.7211171326256475,-2.346429453891597,-36.81,1,3.2907964005133614,False,False
0,1,0.7660934710033896,-1.862298440601444,-27.34,1,2.35439237164233,False,False
0,1,-0.6427519630364085,-3.425602731513199,-35.88,1,2.518239261739805,False,False
0,1,0.19078589860463338,0.0,-15.46,1,0.4876463024345311,False,False
0,1,-1.2146361396006387,0.0,-12.25,1,0.15025334058476372,False,False
0,1,-0.22043477000131045,-1.949149712390716,-3.51,1,-0.008484159176690098,True,False
